test1|1773045972|1773045981|0.01|1|3.0000|0
test1|1774317286|1774317292|0.01|1|3.0000|0
test1|1774317314|1774317354|0.03|1|3.0000|0
test1|1777020392|1777021771|1.15|1|3.0000|0
abc|1777021802|1777021826|0.01|1|3.0000|0
abc|1777021875|1777021919|0.01|1|3.0000|0
abc|1777021957|1777022120|0.01|1|3.0000|0
abc|1777023051|1777023129|0.01|1|3.0000|0
abc|1777023964|1777024041|0.06|1|3.0000|0
test1|1777024899|1777025075|0.49|1|10.0000|0
abc|1777025133|1777025397|0.73|1|10.0000|0
abc|1777025401|1777025412|0.03|1|10.0000|0
test1|1777025408|1777025443|0.10|1|10.0000|0
